PrsID,PrsLabel,BYear,BLocLabel,BLocUID,BLocTGNID,BLocLat,BLocLang,DYear,DLocLabel,DLocUID,DLocTGNID,DLocLat,DLocLang,Sex,AppliedArts,Architecture,FineArts,PerformingArts,Print&Graphics,Academic,Other,,,,,
500030946,"Lorenzetti, Pietro",1276,Siena ,4243540646,7011179,43.316667,11.35,1348,Siena ,4243540646,7011179,43.316667,11.35,M,0,0,1,0,1,0,0,,,,,
500012547,"Lorenzetti, Ambrogio",1285,Siena ,4243540646,7011179,43.316667,11.35,1348,Siena ,4243540646,7011179,43.316667,11.35,M,0,0,1,0,0,0,0,,,,,
500005015,Andrea Pisano,1270,Pontedera ,4243450353,7006299,43.666667,10.633333,1349,Orvieto ,4243420072,7005124,42.716667,12.116667,M,1,1,1,0,0,0,0,,,,,
500248606,"Clement VI, Pope",1281,Corrèze ,4151060724,7002922,45.3333,1.8333,1352,Avignon ,4151000374,7008799,43.9333,4.8,M,0,0,0,0,0,0,1,,,,,
500086078,"Fitzralph, Richard",1285,Dundalk ,4240090029,7006958,54.0167,-6.4167,1360,Avignon ,4151000374,7008799,43.9333,4.8,M,0,0,0,0,0,0,1,,,,,
500125740,Zhu Derun,1294,Henan ,3062210003,7016672,34,114,1365,Suzhou ,3062540950,7018059,31.35,120.6667,M,0,0,1,0,1,0,0,,,,,
500115669,"Gaddi, Taddeo",1290,Florence ,4243150091,7000457,43.766667,11.25,1366,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500027614,"Seuse, Heinrich",1295,Überlingen ,4180600001,7012359,47.766667,9.166667,1366,Ulm ,4180600027,7005187,48.4,10,M,0,0,0,0,0,0,1,,,,,
500022998,Nardo di Cione,1310,Florence ,4243150091,7000457,43.766667,11.25,1366,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500119427,Orcagna,1305,Florence ,4243150091,7000457,43.766667,11.25,1368,Florence ,4243150091,7000457,43.766667,11.25,M,0,1,1,0,0,0,0,,,,,
500275699,"Urban V, Pope",1300,Languedoc ,4151330149,7002884,43.134191,1.666322,1370,Avignon ,4151000374,7008799,43.9333,4.8,M,0,0,0,0,0,0,1,,,,,
500031701,"Nuzi, Allegretto",1316,Fabriano ,4243150002,7004004,43.333333,12.9,1374,Fabriano ,4243150002,7004004,43.333333,12.9,M,0,0,1,0,0,0,0,,,,,
500016602,"Bulgarini, Bartolommeo",1300,Siena ,4243540646,7011179,43.316667,11.35,1378,Siena ,4243540646,7011179,43.316667,11.35,M,0,0,1,0,0,0,0,,,,,
500119426,Matteo di Cione,1310,Florence ,4243150091,7000457,43.766667,11.25,1390,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500329586,??fi?,1310,Sh?r?z ,3243540044,7002148,29.6333,52.5667,1390,Sh?r?z ,3243540044,7002148,29.6333,52.5667,M,0,0,0,0,0,1,1,,,,,
500107701,"Yeveley, Henry",1300,Yeaveley ,4601720024,7025353,52.95,-1.7167,1400,London ,4601330462,7011781,51.5,-.1667,M,0,1,1,0,0,0,0,,,,,
500031302,Jacopo di Cione,1320,Florence ,4243150091,7000457,43.766667,11.25,1400,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500115626,"Beauneveu, André",1330,Valenciennes ,4151630018,7008471,50.3667,3.5333,1403,Bourges ,4151030399,7017415,47.0833,2.3833,M,0,0,1,0,1,0,0,,,,,
500033976,"William of Wykeham, Bishop of Winchester",1324,Wykeham ,4601660662,4012398,52.81855,-0.1086,1404,Great Waltham ,4601180294,1029391,51.8,.4333,M,0,1,0,0,0,0,1,,,,,
500121279,"Parler, Wenzel",1350,Prague ,4060450028,7006464,50.1,14.4333,1404,Vienna ,4002630021,7003321,48.2167,16.3667,M,0,1,0,0,0,0,0,,,,,
500009510,"Sluter, Claus",1350,Haarlem ,4390210003,7007048,52.366667,4.65,1406,Dijon ,4151090064,7008224,47.3333,5.0333,M,0,1,1,0,0,0,0,,,,,
500031914,Bartolo di Fredi,1320,Siena ,4243540646,7011179,43.316667,11.35,1410,Siena ,4243540646,7011179,43.316667,11.35,M,0,0,1,0,0,0,0,,,,,
500030643,Spinello Aretino,1350,Arezzo ,4243000242,7006072,43.416667,11.883333,1410,Arezzo ,4243000242,7006072,43.416667,11.883333,M,0,0,1,0,0,0,0,,,,,
500004586,"Starnina, Gherardo",1350,Florence ,4243150091,7000457,43.766667,11.25,1413,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500023793,Bertram von Minden,1335,Minden ,4180360205,7005099,52.283333,8.916667,1415,Hamburg ,4180210056,7005289,53.55,10,M,0,0,1,0,1,0,0,,,,,
500242925,"Berry, Jean de France, duc de",1340,Vincennes ,4151630307,7009740,48.85,2.45,1416,Paris ,4151450026,7008038,48.8667,2.3333,M,0,0,0,0,0,0,1,,,,,
500027500,Benedetto di Bindo Zoppo,1380,Castiglione d'Orcia ,4243060500,7007728,43,11.616667,1417,Perugia ,4243450142,7000526,43.133333,12.366667,M,0,0,1,0,0,0,0,,,,,
500028372,Antonio Veneziano,1320,Venice ,4243630105,7018159,45.438611,12.326667,1420,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500021203,"Salimbeni, Lorenzo",1374,San Severino Marche ,4243540282,7004020,43.216667,13.166667,1420,San Severino Marche ,4243540282,7004020,43.216667,13.166667,M,0,0,1,0,0,0,0,,,,,
500007743,"Broederlam, Melchior",1345,Ypres ,4031240001,7007899,50.851142,2.885688,1421,Ypres ,4031240001,7007899,50.851142,2.885688,M,0,0,1,0,0,0,0,,,,,
500021430,Nanni di Banco,1370,Florence ,4243150091,7000457,43.766667,11.25,1421,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500028569,"Borrassá, Luis",1360,Gerona ,4540180017,7007697,41.982548,2.822449,1425,Barcelona ,4540030022,7007426,41.398371,2.1741,M,0,0,1,0,0,0,0,,,,,
500013023,"Eyck, Hubert van",1375,Maaseik ,4031360000,7007951,51.1,5.8,1426,Ghent ,4031180010,7007887,51.05,3.716667,M,0,0,1,0,0,0,0,,,,,
500017803,Gentile da Fabriano,1365,Fabriano ,4243150002,7004004,43.333333,12.9,1427,Rome ,4243510165,7000874,41.9,12.483333,M,0,0,1,0,1,0,0,,,,,
500024770,Andrea di Bartolo,1359,Siena ,4243540646,7011179,43.316667,11.35,1428,Siena ,4243540646,7011179,43.316667,11.35,M,0,0,1,0,1,0,0,,,,,
500127819,Ashikaga Yoshimochi,1386,Kyoto ,3271300435,7004603,35,135.75,1428,Kyoto ,3271300435,7004603,35,135.75,M,0,0,1,0,0,0,1,,,,,
500026649,Masaccio,1401,Castel San Giovanni ,4243060470,1043988,45.066667,9.433333,1428,Rome ,4243510165,7000874,41.9,12.483333,M,0,0,1,0,0,0,0,,,,,
500014628,"Toscani, Giovanni di Francesco",1360,Florence ,4243150091,7000457,43.766667,11.25,1430,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500095188,"Gerthener, Madern",1350,Frankfurt am Main ,4180150093,7005293,50.116667,8.683333,1431,Frankfurt am Main ,4180150093,7005293,50.116667,8.683333,M,0,1,1,0,0,0,0,,,,,
500121031,Ch?densu Minch?,1352,Awaji ,3271000130,1079845,34.5833,135.0167,1431,Kyoto ,3271300435,7004603,35,135.75,M,0,0,1,0,0,0,1,,,,,
500018159,Hans von Burghausen,1350,Burghausen ,4180030651,7004328,48.166667,12.833333,1432,Landshut ,4180330034,7004414,48.533333,12.15,M,0,1,0,0,0,0,0,,,,,
500013711,Lorenzo di Bicci,1340,Florence ,4243150091,7000457,43.766667,11.25,1437,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500115267,"Cennini, Cennino",1360,Colle di Val d'Elsa ,4243060801,7006328,43.416667,11.116667,1440,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,1,,,,,
500001645,Bartolomeo di Fruosino,1356,Florence ,4243150091,7000457,43.766667,11.25,1441,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,1,0,0,,,,,
500116209,"Eyck, Jan van",1380,Maaseik ,4031360000,7007951,51.1,5.8,1441,Bruges ,4031030066,7007867,51.210933,3.225971,M,0,0,1,0,0,0,0,,,,,
500030814,"Bellechose, Henri",1360,Brabant ,4000030003,7003463,54.322554,4.30165,1445,Dijon ,4151090064,7008224,47.3333,5.0333,M,0,0,1,0,0,0,0,,,,,
500025160,"Pesello, Giuliano",1367,Florence ,4243150091,7000457,43.766667,11.25,1446,Florence ,4243150091,7000457,43.766667,11.25,M,1,0,1,0,0,0,0,,,,,
500018169,"Brunelleschi, Filippo",1377,Florence ,4243150091,7000457,43.766667,11.25,1446,Florence ,4243150091,7000457,43.766667,11.25,M,1,1,1,0,0,0,0,,,,,
500100694,Benedetto di Pietro dal Mugello,1389,Vicchio ,4243630161,7006147,43.933333,11.466667,1448,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,1,0,1,,,,,
500057667,"Lomme, Janin",1381,Tournai ,4031570018,7008002,50.60715,3.389321,1449,Viana ,4540630037,4011756,41.533333,-2.45,M,0,0,1,0,0,0,0,,,,,
500032096,Pietro di Giovanni d'Ambrogio,1409,Siena ,4243540646,7011179,43.316667,11.35,1449,Siena ,4243540646,7011179,43.316667,11.35,M,0,0,1,0,0,0,0,,,,,
500105630,Giovanni di Gherardo da Prato,1360,Prato ,4243450464,7006161,43.883333,11.1,1450,Prato ,4243450464,7006161,43.883333,11.1,M,0,1,0,0,0,1,1,,,,,
500005883,"Bardi, Donato de'",1400,Pavia ,4243450103,7006026,45.166667,9.166667,1451,Genoa ,4243180088,7008546,44.416667,8.95,M,0,0,1,0,0,0,0,,,,,
500002727,Bicci di Lorenzo,1373,Florence ,4243150091,7000457,43.766667,11.25,1452,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500124433,"Antigó, Joan",1405,Gerona ,4540180017,7007697,41.982548,2.822449,1452,Gerona ,4540180017,7007697,41.982548,2.822449,M,0,0,1,0,0,0,0,,,,,
500006905,"Jaquerio, Giacomo",1370,Turin ,4243570114,7005688,45.05,7.666667,1453,Turin ,4243570114,7005688,45.05,7.666667,M,0,0,1,0,0,0,0,,,,,
500032128,"Pizzolo, Nicolò",1420,Padua ,4243450011,7003085,45.416667,11.883333,1453,Padua ,4243450011,7003085,45.416667,11.883333,M,0,0,1,0,0,0,0,,,,,
500089474,"Sagrera, Guillem",1354,Felanitx ,4540150003,7007680,39.466667,3.133333,1454,Naples ,4243390002,7004474,40.833333,14.25,M,0,1,1,0,0,0,0,,,,,
500032583,"Nelli, Ottaviano",1360,Gubbio ,4243180243,7005048,43.35,12.583333,1454,Gubbio ,4243180243,7005048,43.35,12.583333,M,0,0,1,0,0,0,0,,,,,
500010103,Bartolomeo di Tommaso,1408,Foligno ,4243150116,7005040,42.95,12.7,1454,Rome ,4243510165,7000874,41.9,12.483333,M,0,0,1,0,0,0,0,,,,,
500199399,Jacopo D'Antonio,1427,Florence ,4243150091,7000457,43.766667,11.25,1454,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500014490,Andrea da Firenze,1388,Florence ,4243150091,7000457,43.766667,11.25,1455,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500029319,"Angelico, Fra",1390,Vicchio ,4243630161,7006147,43.933333,11.466667,1455,Rome ,4243510165,7000874,41.9,12.483333,M,0,0,1,0,1,0,1,,,,,
500018473,Mariotto di Cristofano,1393,San Giovanni Valdarno ,4243540162,7006537,43.566667,11.533333,1457,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500025682,Pesellino,1412,Florence ,4243150091,7000457,43.766667,11.25,1457,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500008719,"Taccola, Mariano",1382,Siena ,4243540646,7011179,43.316667,11.35,1458,Siena ,4243540646,7011179,43.316667,11.35,M,0,1,1,0,0,0,1,,,,,
500124352,Giovanni di Francesco,1412,Florence ,4243150091,7000457,43.766667,11.25,1459,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500031944,Ciriaco d'Ancona,1391,Ancona ,4243000167,7003980,43.633333,13.5,1460,Cremona ,4243060945,7005868,45.116667,10.033333,M,0,0,0,0,1,1,1,,,,,
500016179,"Manetti, Antonio di Ciaccheri",1392,Florence ,4243150091,7000457,43.766667,11.25,1460,Florence ,4243150091,7000457,43.766667,11.25,M,1,1,0,0,0,0,0,,,,,
500125746,Dai Jin,1388,Zhejiang ,3062750000,7002076,29,120,1462,Hangzhou ,3062210092,7001806,30.3,120.1167,M,0,0,1,0,0,0,0,,,,,
500015836,"Cavalcanti, Andrea di Lazzaro",1412,Borgo a Buggiano ,4243030262,4001692,43.8833,104.6667,1462,Florence ,4243150091,7000457,43.766667,11.25,M,1,1,1,0,0,0,0,,,,,
500031237,"Spinelli, Parri",1387,Arezzo ,4243000242,7006072,43.416667,11.883333,1463,Arezzo ,4243000242,7006072,43.416667,11.883333,M,0,0,1,0,0,0,0,,,,,
500008384,"Weyden, Rogier van der",1395,Tournai ,4031570018,7008002,50.60715,3.389321,1464,Brussels ,4031030068,7007868,50.833333,4.333333,M,0,0,1,0,1,0,0,,,,,
500016116,Desiderio da Settignano,1429,Settignano ,4243540810,7006128,43.782874,11.320987,1464,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
500024747,"Vasari, Lazzaro",1399,Arezzo ,4243000242,7006072,43.416667,11.883333,1468,Arezzo ,4243000242,7006072,43.416667,11.883333,M,1,0,1,0,0,0,0,,,,,
500038507,"Claperós, Joan",1400,Barcelona ,4540030022,7007426,41.398371,2.1741,1468,Barcelona ,4540030022,7007426,41.398371,2.1741,M,0,0,1,0,0,0,0,,,,,
500023853,"Kuene, Konrad",1390,Strasbourg ,4151540794,7012346,48.5833,7.75,1469,Cologne ,4180060061,7004446,50.933333,6.95,M,0,1,1,0,0,0,0,,,,,
500019158,"Lippi, Filippo",1396,Florence ,4243150091,7000457,43.766667,11.25,1469,Spoleto ,4243540747,7005042,42.733333,12.733333,M,0,0,1,0,0,0,0,,,,,
500121432,Giovanni Francesco da Rimini,1410,Rimini ,4243510077,7004929,44.063333,12.580833,1470,Bologna ,4243030226,7004847,44.483333,11.333333,M,0,0,1,0,0,0,0,,,,,
500032603,Michelozzo di Bartolomeo,1396,Florence ,4243150091,7000457,43.766667,11.25,1472,Florence ,4243150091,7000457,43.766667,11.25,M,1,1,1,0,0,0,0,,,,,
500002025,"Alberti, Leon Battista",1404,Genoa ,4243180088,7008546,44.416667,8.95,1472,Rome ,4243510165,7000874,41.9,12.483333,M,0,1,1,0,0,1,1,,,,,
500125668,Liu Jue,1410,Suzhou ,3062540950,7018059,31.35,120.6667,1472,Suzhou ,3062540950,7018059,31.35,120.6667,M,0,0,1,0,1,0,1,,,,,
500003656,Giorgio da Sebenico,1390,Zadar ,4061750003,7015549,44.1167,15.2333,1473,Šibenik ,4061540007,7015447,43.75,15.9167,M,0,1,1,0,0,0,1,,,,,
500018619,Pietro di Martino da Milano,1400,Milan ,4243360266,7005903,45.466667,9.2,1473,Naples ,4243390002,7004474,40.833333,14.25,M,1,1,1,0,0,0,0,,,,,
500024814,"Bouts, Dieric, the elder",1410,Haarlem ,4390210003,7007048,52.366667,4.65,1475,Louvain ,4031330020,7007949,50.883333,4.7,M,0,0,1,0,0,0,0,,,,,
500032549,"Christus, Petrus",1410,Baarle-Hertog ,4031030001,1026306,51.45,4.933333,1476,Bruges ,4031030066,7007867,51.210933,3.225971,M,0,0,1,0,0,0,0,,,,,
